ciudad,genero,area,salario,edad,antiguedad,nivel_educativo,estado_civil,hijos,turno,satisfaccion_laboral
Medellín,Femenino,Operativos,5499440.96,25,13,Tecnólogo,Viudo,2,Mixto,7.2
Itagüí,Femenino,Operativos,3050097.27,21,25,Tecnólogo,Casado,0,Nocturno,9.0
Envigado,Masculino,Operativos,5284613.07,60,6,Secundaria,Casado,1,Mixto,8.7
Sabaneta,Femenino,Operativos,5211318.53,55,10,Secundaria,Viudo,2,Diurno,6.6
Medellín,Femenino,Operativos,5981049.85,44,16,Tecnólogo,Soltero,1,Mixto,5.5
Itagüí,Masculino,Operativos,5350599.67,41,32,Técnico,Divorciado,0,Nocturno,2.8
Medellín,Femenino,Operativos,2825485.07,23,13,Profesional,Viudo,1,Diurno,8.9
Envigado,Femenino,Servicios Generales,3162608.71,35,32,Profesional,Casado,0,Diurno,6.2
Sabaneta,Femenino,Operativos,2373944.96,26,22,Tecnólogo,Divorciado,0,Diurno,9.8
Sabaneta,Femenino,Operativos,3068101.26,50,34,Profesional,Soltero,0,Nocturno,5.1
Sabaneta,Femenino,Administrativa,6840960.87,23,3,Secundaria,Divorciado,0,Mixto,8.0
Estrella,No Binario,Operativos,4939661.99,50,17,Técnico,Unión Libre,1,Mixto,2.1
Estrella,Masculino,Operativos,3117040.7,53,1,Técnico,Casado,2,Diurno,1.1
Envigado,Femenino,Servicios Generales,2559248.75,61,39,Secundaria,Casado,3,Diurno,6.7
Sabaneta,No Binario,Operativos,5317053.4,27,20,Técnico,Soltero,0,Diurno,8.5
Bello,Masculino,Operativos,3780820.66,62,22,Técnico,Soltero,1,Nocturno,4.1
Sabaneta,No Binario,Servicios Generales,3648376.79,20,17,Profesional,Soltero,0,Nocturno,4.5
Bello,Femenino,Operativos,4118354.47,51,24,Profesional,Viudo,0,Mixto,5.8
Estrella,Femenino,Operativos,3008671.18,57,12,Profesional,Casado,3,Mixto,3.5
Estrella,Femenino,Servicios Generales,2611343.8,49,0,Profesional,Viudo,1,Nocturno,2.5
Medellín,Masculino,Administrativa,6344172.59,56,6,Profesional,Unión Libre,3,Mixto,8.0
Itagüí,Masculino,Operativos,4062210.7,47,39,Posgrado,Viudo,0,Diurno,5.6
Medellín,Femenino,Operativos,3135375.94,36,21,Profesional,Soltero,4,Mixto,1.3
Medellín,Masculino,Operativos,2529799.34,61,0,Profesional,Unión Libre,2,Diurno,2.2
Itagüí,Femenino,Operativos,3372730.39,26,8,Secundaria,Soltero,2,Mixto,7.7
Estrella,Masculino,Operativos,2427771.62,49,1,Posgrado,Soltero,2,Nocturno,1.7
Envigado,Femenino,Operativos,5962434.92,49,27,Secundaria,Divorciado,4,Mixto,1.4
Sabaneta,Masculino,Operativos,4637787.68,21,18,Técnico,Unión Libre,0,Nocturno,1.6
Bello,Femenino,Operativos,5432762.3,43,9,Posgrado,Casado,0,Mixto,3.4
Estrella,Masculino,Administrativa,7409207.27,34,32,Profesional,Viudo,0,Diurno,9.0
Bello,No Binario,Operativos,5716997.43,37,8,Tecnólogo,Soltero,1,Nocturno,4.0
Envigado,Femenino,Operativos,3440275.76,40,21,Tecnólogo,Casado,0,Nocturno,5.1
Estrella,Masculino,Servicios Generales,3503270.59,42,0,Tecnólogo,Divorciado,0,Nocturno,6.5
Bello,Masculino,Administrativa,6841234.34,52,29,Técnico,Casado,0,Diurno,4.8
Medellín,No Binario,Operativos,3025476.73,38,12,Técnico,Soltero,3,Nocturno,2.9
Itagüí,Femenino,Operativos,2196911.65,18,21,Secundaria,Unión Libre,0,Nocturno,1.9
Medellín,No Binario,Operativos,3897536.44,47,28,Tecnólogo,Soltero,3,Nocturno,4.7
Envigado,Masculino,Operativos,3023086.26,22,17,Profesional,Unión Libre,1,Diurno,8.6
Medellín,Masculino,Operativos,5447747.9,58,20,Técnico,Divorciado,1,Nocturno,6.5
Estrella,No Binario,Operativos,5679846.9,53,18,Tecnólogo,Unión Libre,0,Mixto,4.1
Bello,Masculino,Operativos,4966490.26,29,12,Profesional,Viudo,0,Nocturno,5.2
Bello,Masculino,Operativos,3799420.95,50,38,Técnico,Soltero,0,Diurno,3.0
Bello,Masculino,Operativos,4602237.92,60,21,Técnico,Divorciado,0,Mixto,7.5
Estrella,Masculino,Operativos,4306471.25,53,38,Técnico,Divorciado,0,Diurno,9.0
Itagüí,Femenino,Operativos,5997096.57,31,35,Tecnólogo,Unión Libre,1,Nocturno,2.0
Sabaneta,Femenino,Servicios Generales,2198412.55,19,37,Tecnólogo,Unión Libre,4,Diurno,1.4
Medellín,Masculino,Servicios Generales,2589973.73,25,3,Tecnólogo,Casado,0,Nocturno,1.5
Estrella,Masculino,Administrativa,6177490.27,53,6,Secundaria,Soltero,0,Nocturno,7.3
Sabaneta,Masculino,Operativos,4142287.87,38,11,Secundaria,Casado,3,Diurno,7.6
Itagüí,Femenino,Servicios Generales,2353733.99,35,19,Profesional,Casado,1,Diurno,1.9
Medellín,Masculino,Operativos,4987227.83,33,40,Técnico,Soltero,0,Mixto,8.4
Itagüí,Femenino,Operativos,3349447.13,58,34,Secundaria,Unión Libre,3,Mixto,3.1
Medellín,Femenino,Administrativa,6878353.51,34,32,Secundaria,Viudo,3,Nocturno,8.4
Envigado,Femenino,Operativos,4295628.82,60,9,Secundaria,Unión Libre,1,Mixto,6.8
Itagüí,Masculino,Operativos,5510698.62,62,20,Tecnólogo,Unión Libre,2,Diurno,5.4
Sabaneta,No Binario,Servicios Generales,2613189.31,32,28,Profesional,Soltero,3,Diurno,6.1
Estrella,Femenino,Operativos,3952064.47,28,14,Profesional,Viudo,1,Diurno,3.0
Itagüí,Femenino,Operativos,2152538.63,62,30,Técnico,Unión Libre,4,Nocturno,4.1
Sabaneta,Femenino,Operativos,2346415.07,45,20,Secundaria,Unión Libre,1,Mixto,4.9
Sabaneta,Masculino,Servicios Generales,2057289.58,20,11,Profesional,Soltero,0,Mixto,3.9
Bello,Femenino,Operativos,5445625.77,62,24,Profesional,Soltero,0,Mixto,4.9
Medellín,Masculino,Operativos,5886063.02,25,6,Técnico,Viudo,1,Diurno,6.0
Estrella,Femenino,Servicios Generales,2419180.34,25,33,Posgrado,Divorciado,0,Mixto,9.4
Envigado,Masculino,Operativos,4054982.76,29,30,Profesional,Divorciado,1,Mixto,1.7
Envigado,No Binario,Operativos,5143871.62,44,12,Secundaria,Soltero,0,Diurno,8.4
Itagüí,No Binario,Operativos,4778121.31,44,13,Profesional,Soltero,0,Mixto,6.2
Estrella,No Binario,Administrativa,6897669.17,20,15,Técnico,Viudo,4,Mixto,9.0
Bello,Masculino,Administrativa,6499044.37,54,34,Tecnólogo,Viudo,2,Nocturno,8.7
Envigado,No Binario,Servicios Generales,3696849.34,51,12,Secundaria,Unión Libre,0,Diurno,4.6
Itagüí,No Binario,Operativos,5925875.41,61,5,Profesional,Casado,0,Nocturno,7.5
Itagüí,Femenino,Operativos,4062617.62,37,8,Posgrado,Divorciado,0,Mixto,5.7
Itagüí,Femenino,Operativos,2256448.94,61,5,Profesional,Viudo,0,Nocturno,6.7
Estrella,Masculino,Operativos,2451127.76,35,29,Técnico,Casado,3,Nocturno,1.5
Itagüí,Femenino,Servicios Generales,3745669.64,56,25,Profesional,Unión Libre,1,Diurno,9.2
Bello,Masculino,Operativos,3056387.99,30,12,Técnico,Soltero,1,Mixto,1.4
Itagüí,Masculino,Servicios Generales,3989994.88,57,10,Profesional,Viudo,4,Diurno,6.8
Estrella,Femenino,Administrativa,6815844.85,54,1,Técnico,Viudo,2,Diurno,6.7
Envigado,Femenino,Operativos,5124765.65,20,30,Secundaria,Casado,0,Diurno,3.6
Itagüí,Masculino,Operativos,4134130.34,57,39,Tecnólogo,Casado,1,Mixto,2.8
Bello,Masculino,Operativos,5094530.84,38,37,Profesional,Viudo,2,Mixto,9.4
Envigado,Masculino,Operativos,3843467.66,33,7,Secundaria,Casado,2,Mixto,8.4
Estrella,Femenino,Operativos,4449675.31,60,36,Primaria,Unión Libre,0,Mixto,2.3
Medellín,Femenino,Servicios Generales,2291192.87,40,14,Tecnólogo,Viudo,2,Mixto,3.7
Estrella,Masculino,Administrativa,6148317.28,45,16,Profesional,Viudo,3,Mixto,7.7
Bello,Femenino,Operativos,3586923.32,40,10,Tecnólogo,Unión Libre,2,Nocturno,4.6
Estrella,Femenino,Operativos,2529012.08,56,24,Profesional,Unión Libre,0,Nocturno,3.3
Envigado,Femenino,Operativos,3383060.07,41,19,Técnico,Unión Libre,1,Diurno,5.2
Estrella,Femenino,Operativos,5925204.04,55,1,Secundaria,Viudo,0,Mixto,6.2
Bello,Masculino,Servicios Generales,3647070.36,42,30,Técnico,Unión Libre,0,Diurno,7.4
Envigado,Masculino,Operativos,2483115.17,51,27,Secundaria,Casado,0,Mixto,8.6
Medellín,Femenino,Operativos,3064446.01,60,15,Profesional,Soltero,0,Nocturno,4.2
Bello,Masculino,Operativos,3695094.15,58,27,Secundaria,Unión Libre,0,Mixto,3.0
Envigado,No Binario,Operativos,3276446.45,26,27,Secundaria,Soltero,2,Mixto,5.6
Bello,Femenino,Servicios Generales,3253098.23,61,29,Técnico,Soltero,0,Diurno,2.8
Estrella,Femenino,Operativos,2794413.39,19,37,Secundaria,Divorciado,1,Diurno,1.1
Sabaneta,Femenino,Operativos,5725680.45,51,0,Secundaria,Viudo,0,Mixto,2.0
Bello,No Binario,Operativos,3085986.48,47,10,Tecnólogo,Casado,3,Diurno,6.4
Sabaneta,Femenino,Operativos,3840799.51,48,20,Técnico,Casado,2,Nocturno,6.5
Bello,Femenino,Operativos,2705680.65,48,17,Profesional,Viudo,1,Nocturno,9.6
Sabaneta,No Binario,Operativos,5066668.23,46,39,Profesional,Casado,2,Nocturno,4.8
Sabaneta,Femenino,Operativos,2280147.73,27,33,Técnico,Divorciado,3,Diurno,9.5
Sabaneta,Masculino,Operativos,2674721.44,42,11,Profesional,Viudo,1,Nocturno,6.5
Medellín,Masculino,Servicios Generales,2345295.01,37,9,Profesional,Unión Libre,3,Mixto,9.3
Medellín,Masculino,Operativos,5761122.75,49,21,Profesional,Viudo,1,Mixto,7.9
Envigado,Masculino,Operativos,4631056.69,34,33,Secundaria,Soltero,1,Nocturno,5.1
Envigado,Masculino,Servicios Generales,2473032.61,46,40,Secundaria,Casado,3,Mixto,2.2
Medellín,Masculino,Operativos,5881781.25,18,0,Secundaria,Soltero,0,Nocturno,7.4
Estrella,No Binario,Operativos,2921437.61,53,24,Secundaria,Divorciado,1,Mixto,6.8
Bello,Femenino,Servicios Generales,3255777.64,42,4,Tecnólogo,Divorciado,1,Diurno,6.7
Bello,Femenino,Operativos,3026990.56,43,34,Técnico,Soltero,0,Nocturno,2.9
Sabaneta,Masculino,Servicios Generales,2133430.76,59,38,Profesional,Unión Libre,1,Diurno,9.3
Estrella,No Binario,Administrativa,6025247.96,23,13,Posgrado,Unión Libre,1,Nocturno,2.7
Estrella,Masculino,Operativos,4047209.23,50,22,Técnico,Divorciado,0,Nocturno,9.4
Sabaneta,Masculino,Operativos,4723206.79,49,31,Primaria,Soltero,0,Diurno,3.3
Estrella,Femenino,Operativos,4629394.43,25,31,Secundaria,Divorciado,2,Diurno,8.2
Itagüí,Femenino,Operativos,3207470.29,58,0,Técnico,Unión Libre,1,Nocturno,2.3
Medellín,Masculino,Operativos,3516340.71,57,35,Secundaria,Unión Libre,2,Nocturno,4.9
Sabaneta,Masculino,Operativos,3790411.12,40,18,Secundaria,Unión Libre,1,Mixto,9.6
Bello,Femenino,Servicios Generales,3056578.19,54,35,Secundaria,Viudo,4,Diurno,7.2
Envigado,Masculino,Operativos,5946158.55,41,38,Secundaria,Soltero,0,Mixto,7.0
Sabaneta,Femenino,Operativos,5209387.48,57,17,Técnico,Viudo,0,Nocturno,3.0
Envigado,Masculino,Servicios Generales,2195035.78,32,31,Secundaria,Viudo,0,Mixto,9.4
Estrella,Femenino,Operativos,2708327.99,45,30,Secundaria,Unión Libre,0,Mixto,5.7
Medellín,Masculino,Servicios Generales,3082777.85,19,28,Secundaria,Viudo,0,Mixto,5.5
Medellín,Femenino,Operativos,4405816.69,58,8,Técnico,Viudo,1,Nocturno,8.5
Envigado,Femenino,Operativos,5129972.6,27,30,Tecnólogo,Viudo,0,Nocturno,8.9
Itagüí,Femenino,Operativos,5264832.45,20,31,Profesional,Divorciado,0,Mixto,4.9
Estrella,Femenino,Operativos,5556814.54,27,37,Técnico,Unión Libre,0,Diurno,1.1
Envigado,Masculino,Operativos,5267829.38,55,27,Profesional,Soltero,1,Mixto,1.6
Itagüí,Masculino,Operativos,5416558.58,49,17,Técnico,Casado,0,Mixto,9.8
Sabaneta,No Binario,Operativos,5547034.68,54,38,Secundaria,Unión Libre,0,Nocturno,2.6
Estrella,Femenino,Operativos,4709688.1,57,0,Técnico,Viudo,1,Diurno,9.7
Sabaneta,No Binario,Operativos,4215217.94,52,32,Técnico,Casado,3,Diurno,7.8
Itagüí,Femenino,Operativos,5711824.99,24,23,Técnico,Divorciado,1,Mixto,5.5
Itagüí,Femenino,Operativos,3945235.54,25,26,Posgrado,Casado,1,Nocturno,7.6
Medellín,Femenino,Operativos,3336684.54,34,31,Secundaria,Soltero,2,Diurno,8.0
Envigado,Masculino,Operativos,4145855.21,38,27,Profesional,Unión Libre,0,Diurno,4.9
Envigado,Masculino,Operativos,4310682.49,30,20,Secundaria,Viudo,0,Diurno,6.3
Estrella,Femenino,Operativos,2969755.5,25,33,Tecnólogo,Casado,1,Nocturno,6.7
Sabaneta,Femenino,Operativos,3408739.51,46,29,Tecnólogo,Viudo,1,Mixto,3.3
Bello,No Binario,Operativos,2741113.27,60,27,Secundaria,Viudo,2,Mixto,1.1
Sabaneta,Masculino,Operativos,5852874.19,37,12,Primaria,Casado,1,Nocturno,8.0
Estrella,Masculino,Operativos,4252115.32,26,38,Profesional,Unión Libre,0,Diurno,2.9
Estrella,Femenino,Operativos,3936003.25,23,11,Secundaria,Viudo,1,Mixto,2.1
Bello,Masculino,Operativos,2109733.56,22,12,Tecnólogo,Viudo,1,Nocturno,8.6
Bello,Femenino,Servicios Generales,3690889.74,59,18,Técnico,Soltero,0,Mixto,4.6
Sabaneta,Femenino,Administrativa,7977700.4,55,7,Tecnólogo,Soltero,1,Diurno,9.3
Envigado,No Binario,Administrativa,6231987.02,55,2,Profesional,Soltero,2,Mixto,4.0
Medellín,No Binario,Operativos,5413508.82,56,8,Posgrado,Viudo,3,Nocturno,8.2
Envigado,Masculino,Operativos,3752749.04,23,35,Posgrado,Viudo,0,Diurno,6.8
Sabaneta,Femenino,Operativos,2329025.47,43,34,Secundaria,Casado,0,Nocturno,1.4
Medellín,Femenino,Administrativa,6116898.34,51,32,Técnico,Viudo,0,Nocturno,4.8
Envigado,Masculino,Servicios Generales,3816491.92,27,15,Primaria,Casado,3,Nocturno,4.6
Bello,Masculino,Operativos,4232593.78,52,34,Profesional,Viudo,3,Mixto,2.9
Medellín,Femenino,Operativos,3352407.23,62,18,Secundaria,Viudo,4,Nocturno,9.4
Itagüí,Femenino,Servicios Generales,2773561.31,44,15,Primaria,Casado,1,Mixto,5.7
Itagüí,Masculino,Operativos,4776711.65,46,40,Tecnólogo,Unión Libre,0,Diurno,9.0
Estrella,Masculino,Operativos,2252083.38,24,39,Tecnólogo,Divorciado,0,Diurno,2.7
Medellín,No Binario,Servicios Generales,3809652.21,55,26,Técnico,Unión Libre,3,Mixto,3.3
Sabaneta,No Binario,Operativos,5844552.12,30,40,Profesional,Unión Libre,0,Diurno,3.5
Envigado,Femenino,Operativos,3613836.74,47,1,Secundaria,Viudo,3,Mixto,1.7
Estrella,Femenino,Operativos,2375819.11,19,32,Primaria,Divorciado,0,Nocturno,4.3
Medellín,Femenino,Operativos,2605270.64,30,28,Profesional,Unión Libre,2,Mixto,2.5
Bello,Femenino,Operativos,5618140.28,36,1,Secundaria,Viudo,0,Mixto,5.1
Medellín,Masculino,Operativos,2921500.08,44,13,Profesional,Viudo,1,Nocturno,2.9
Bello,Femenino,Operativos,5643353.09,18,5,Profesional,Soltero,0,Diurno,5.4
Medellín,Masculino,Operativos,2716307.01,27,26,Secundaria,Divorciado,0,Mixto,9.2
Estrella,Femenino,Operativos,3027696.28,26,17,Secundaria,Casado,1,Mixto,5.1
Envigado,Femenino,Operativos,4281811.3,43,16,Profesional,Soltero,0,Nocturno,4.3
Estrella,No Binario,Operativos,4594434.04,21,2,Tecnólogo,Viudo,1,Nocturno,6.4
Itagüí,Masculino,Operativos,2306236.06,22,5,Técnico,Casado,1,Mixto,8.3
Sabaneta,Femenino,Operativos,5266803.28,41,40,Técnico,Soltero,0,Mixto,7.8
Bello,Masculino,Operativos,5286947.83,51,15,Técnico,Viudo,0,Mixto,4.5
Envigado,Femenino,Operativos,5583399.7,19,17,Profesional,Viudo,1,Diurno,2.7
Sabaneta,Femenino,Servicios Generales,2281830.96,52,34,Profesional,Casado,0,Diurno,9.2
Medellín,Masculino,Operativos,3177761.66,59,30,Profesional,Viudo,0,Diurno,6.2
Itagüí,Femenino,Operativos,2420632.24,18,30,Profesional,Viudo,2,Diurno,8.1
Sabaneta,Masculino,Operativos,2576146.78,49,28,Profesional,Unión Libre,3,Mixto,9.3
Estrella,Masculino,Operativos,5426608.29,58,36,Tecnólogo,Soltero,4,Mixto,3.1
Bello,Masculino,Operativos,3038924.51,49,27,Técnico,Viudo,4,Nocturno,10.0
Estrella,No Binario,Operativos,3674634.73,43,38,Primaria,Soltero,1,Mixto,3.3
Sabaneta,Masculino,Operativos,5628581.93,39,26,Secundaria,Casado,0,Nocturno,2.3
Envigado,No Binario,Operativos,5762349.68,44,22,Secundaria,Divorciado,3,Nocturno,8.3
Itagüí,No Binario,Operativos,3640647.92,39,32,Secundaria,Viudo,0,Nocturno,3.3
Medellín,No Binario,Operativos,2902669.32,59,6,Secundaria,Divorciado,0,Nocturno,8.8
Estrella,Masculino,Operativos,3948090.65,27,18,Profesional,Divorciado,0,Mixto,4.0
Itagüí,Femenino,Operativos,3137033.89,32,33,Técnico,Soltero,2,Nocturno,9.7
Bello,Masculino,Operativos,2268084.63,61,39,Tecnólogo,Casado,0,Mixto,8.8
Medellín,Femenino,Operativos,3716674.87,54,39,Profesional,Viudo,1,Nocturno,5.0
Sabaneta,Femenino,Operativos,3941841.97,51,20,Técnico,Divorciado,0,Diurno,3.7
Bello,No Binario,Servicios Generales,2110607.03,55,21,Primaria,Divorciado,0,Diurno,4.4
Estrella,Femenino,Operativos,3725909.79,47,29,Técnico,Divorciado,0,Diurno,9.8
Estrella,Femenino,Operativos,5463063.86,51,17,Primaria,Casado,2,Mixto,9.5
Medellín,Femenino,Operativos,2830238.59,20,9,Secundaria,Unión Libre,0,Nocturno,3.1
Medellín,Masculino,Administrativa,6325959.23,26,21,Tecnólogo,Soltero,1,Mixto,9.0
Itagüí,Masculino,Operativos,3998471.7,33,16,Secundaria,Divorciado,2,Nocturno,8.5
Bello,Femenino,Operativos,5060862.81,37,28,Tecnólogo,Unión Libre,1,Mixto,9.3
Sabaneta,Masculino,Operativos,4459992.96,38,35,Tecnólogo,Casado,0,Mixto,9.3
Estrella,Masculino,Operativos,3324093.08,28,23,Secundaria,Soltero,2,Nocturno,3.2
Bello,Masculino,Operativos,3807853.53,45,28,Profesional,Divorciado,0,Mixto,5.7
Medellín,Masculino,Operativos,3919639.63,19,35,Secundaria,Casado,0,Mixto,7.7
Sabaneta,Femenino,Administrativa,7598747.49,31,36,Secundaria,Unión Libre,0,Mixto,3.6
Itagüí,Femenino,Operativos,2872932.34,49,5,Profesional,Unión Libre,0,Nocturno,9.7
Medellín,Masculino,Operativos,2025750.09,27,9,Secundaria,Soltero,2,Nocturno,8.8
Envigado,Femenino,Operativos,3845315.95,28,6,Técnico,Viudo,0,Diurno,7.9
Sabaneta,Femenino,Servicios Generales,2394204.4,18,23,Secundaria,Casado,0,Mixto,2.2
Sabaneta,Masculino,Operativos,2876144.22,56,1,Profesional,Soltero,1,Diurno,8.7
Estrella,Femenino,Operativos,5015935.39,34,16,Profesional,Divorciado,3,Diurno,2.5
Estrella,No Binario,Operativos,2782961.39,34,28,Secundaria,Viudo,3,Diurno,4.6
Sabaneta,Femenino,Operativos,5947858.4,37,21,Tecnólogo,Casado,0,Mixto,5.8
Estrella,No Binario,Servicios Generales,3453194.99,45,19,Secundaria,Casado,3,Nocturno,9.4
Estrella,Femenino,Operativos,5321266.27,21,38,Profesional,Divorciado,1,Diurno,1.8
Sabaneta,Masculino,Operativos,5113393.36,43,26,Secundaria,Casado,2,Diurno,9.7
Envigado,No Binario,Operativos,3760436.27,19,32,Técnico,Unión Libre,4,Nocturno,4.9
Bello,No Binario,Operativos,3654382.93,38,24,Primaria,Casado,0,Mixto,9.2
Bello,No Binario,Operativos,4519129.72,40,38,Secundaria,Casado,2,Mixto,9.6
Sabaneta,Femenino,Operativos,2245502.58,21,33,Posgrado,Unión Libre,0,Nocturno,6.5
Estrella,Masculino,Operativos,5590452.48,24,25,Técnico,Unión Libre,3,Nocturno,9.2
Itagüí,Femenino,Servicios Generales,2573039.36,50,8,Secundaria,Viudo,2,Mixto,1.4
Itagüí,Femenino,Operativos,2211833.23,24,25,Técnico,Viudo,2,Diurno,2.8
Itagüí,Masculino,Operativos,3015677.88,34,26,Secundaria,Divorciado,0,Nocturno,7.8
Medellín,Masculino,Servicios Generales,3674175.5,53,32,Secundaria,Viudo,0,Mixto,2.5
Itagüí,Masculino,Operativos,4502754.14,36,29,Posgrado,Casado,1,Nocturno,1.3
Medellín,Masculino,Servicios Generales,3493736.22,33,21,Técnico,Divorciado,0,Diurno,4.7
Estrella,Femenino,Operativos,2510761.23,44,38,Profesional,Unión Libre,0,Mixto,9.6
Sabaneta,Femenino,Operativos,2963035.4,46,38,Técnico,Unión Libre,0,Diurno,9.3
Envigado,Masculino,Administrativa,6776215.93,47,20,Secundaria,Soltero,0,Mixto,8.8
Envigado,Femenino,Operativos,2829371.29,46,11,Técnico,Divorciado,4,Diurno,2.0
Bello,Femenino,Administrativa,6457831.74,41,4,Tecnólogo,Soltero,0,Nocturno,5.2
Bello,No Binario,Operativos,3635117.92,41,1,Primaria,Casado,2,Diurno,5.3
Medellín,Masculino,Operativos,5116738.77,56,32,Primaria,Unión Libre,1,Nocturno,3.4
Itagüí,Femenino,Operativos,4143775.03,56,5,Técnico,Viudo,0,Mixto,8.3
Sabaneta,No Binario,Operativos,3413504.74,52,27,Secundaria,Divorciado,1,Mixto,9.9
Itagüí,Masculino,Operativos,3712301.67,49,38,Secundaria,Unión Libre,0,Diurno,9.6
Medellín,Masculino,Servicios Generales,3821532.7,36,16,Posgrado,Soltero,1,Diurno,8.9
Envigado,Femenino,Operativos,3240217.66,31,18,Secundaria,Divorciado,0,Nocturno,1.6
Sabaneta,Masculino,Operativos,3380646.01,38,33,Técnico,Unión Libre,2,Nocturno,3.0
Envigado,Femenino,Servicios Generales,2806585.77,43,1,Tecnólogo,Soltero,0,Diurno,10.0
Bello,No Binario,Operativos,4681198.74,37,27,Primaria,Viudo,2,Mixto,6.2
Medellín,Masculino,Operativos,4736183.82,22,14,Secundaria,Viudo,0,Nocturno,8.5
Estrella,Femenino,Servicios Generales,3513786.8,62,40,Primaria,Viudo,0,Diurno,4.5
Itagüí,No Binario,Operativos,5234671.45,38,28,Secundaria,Casado,0,Nocturno,7.3
Itagüí,Masculino,Operativos,2510744.65,58,35,Profesional,Casado,0,Nocturno,7.5
Itagüí,Femenino,Operativos,2925651.52,40,13,Posgrado,Casado,1,Mixto,1.1
Envigado,Masculino,Operativos,5323501.9,22,29,Posgrado,Soltero,1,Mixto,4.3
Estrella,Femenino,Servicios Generales,3868381.65,62,19,Profesional,Divorciado,0,Mixto,1.7
Medellín,Femenino,Administrativa,7487961.69,30,29,Primaria,Divorciado,1,Diurno,7.5
Estrella,Masculino,Operativos,2249520.54,32,30,Secundaria,Viudo,2,Mixto,3.9
Envigado,Masculino,Operativos,3464279.37,33,11,Tecnólogo,Unión Libre,1,Mixto,6.9
Sabaneta,Femenino,Operativos,3504929.72,47,38,Secundaria,Divorciado,0,Mixto,5.1
Envigado,Masculino,Operativos,3276716.14,40,17,Tecnólogo,Casado,0,Diurno,9.2
Itagüí,Masculino,Administrativa,6570286.12,25,19,Técnico,Viudo,0,Mixto,9.0
Sabaneta,Femenino,Servicios Generales,3714432.0,54,19,Técnico,Unión Libre,0,Mixto,3.4
Medellín,No Binario,Operativos,5346700.97,48,40,Secundaria,Soltero,0,Diurno,4.1
Envigado,Femenino,Servicios Generales,2245186.92,26,24,Profesional,Divorciado,1,Mixto,1.3
Estrella,Femenino,Servicios Generales,3374378.71,53,29,Técnico,Casado,0,Nocturno,9.5
Medellín,Femenino,Operativos,5942555.24,25,4,Profesional,Unión Libre,0,Diurno,9.5
Medellín,Femenino,Operativos,4322750.95,53,13,Secundaria,Soltero,4,Mixto,1.3
