fecha,codigo_tienda,nombre_tienda,vendedor,codigo_producto,nombre_producto,cantidad,valor_unitario,total,descuento
2025-05-21,9,Tienda I,Vendedor 4,P316,Producto 316,1,121.79,121.79,12.18
2025-03-24,8,Tienda H,Vendedor 5,P023,Producto 23,5,44.09,220.45,0.0
2025-10-04,6,Tienda F,Vendedor 1,P098,Producto 98,1,78.47,78.47,7.85
2025-03-16,4,Tienda D,Vendedor 10,P046,Producto 46,4,152.53,610.12,30.51
2025-04-15,5,Tienda E,Vendedor 7,P401,Producto 401,3,96.02,288.06,14.4
2025-07-11,3,Tienda C,Vendedor 1,P390,Producto 390,5,94.14,470.7,70.6
2025-09-17,1,Tienda A,Vendedor 3,P054,Producto 54,5,31.47,157.35,23.6
2025-02-08,6,Tienda F,Vendedor 6,P285,Producto 285,4,72.22,288.88,43.33
2025-10-30,7,Tienda G,Vendedor 9,P389,Producto 389,2,141.03,282.06,14.1
2025-04-07,10,Tienda J,Vendedor 4,P382,Producto 382,5,75.07,375.35,18.77
2025-09-29,5,Tienda E,Vendedor 7,P336,Producto 336,2,81.33,162.66,8.13
2025-11-14,2,Tienda B,Vendedor 4,P312,Producto 312,2,64.28,128.56,12.86
2025-04-19,3,Tienda C,Vendedor 7,P030,Producto 30,4,75.73,302.92,0.0
2025-08-02,4,Tienda D,Vendedor 3,P312,Producto 312,5,64.28,321.4,16.07
2025-03-03,5,Tienda E,Vendedor 9,P263,Producto 263,3,153.9,461.7,46.17
2025-11-11,7,Tienda G,Vendedor 8,P033,Producto 33,5,52.08,260.4,39.06
2025-10-15,2,Tienda B,Vendedor 9,P221,Producto 221,3,155.29,465.87,46.59
2025-03-13,9,Tienda I,Vendedor 10,P257,Producto 257,3,151.48,454.44,68.17
2025-10-15,6,Tienda F,Vendedor 5,P485,Producto 485,4,92.9,371.6,55.74
2025-02-18,3,Tienda C,Vendedor 8,P300,Producto 300,5,150.13,750.65,112.6
2025-03-01,1,Tienda A,Vendedor 5,P022,Producto 22,3,125.82,377.46,56.62
2025-12-25,10,Tienda J,Vendedor 2,P085,Producto 85,3,133.78,401.34,60.2
2025-12-11,10,Tienda J,Vendedor 7,P419,Producto 419,2,81.62,163.24,0.0
2025-01-14,6,Tienda F,Vendedor 8,P068,Producto 68,5,196.38,981.9,49.09
2025-08-20,4,Tienda D,Vendedor 7,P095,Producto 95,1,52.36,52.36,2.62
2025-08-04,4,Tienda D,Vendedor 1,P027,Producto 27,5,165.51,827.55,41.38
2025-09-05,1,Tienda A,Vendedor 6,P275,Producto 275,2,144.78,289.56,14.48
2025-09-01,9,Tienda I,Vendedor 3,P348,Producto 348,4,150.97,603.88,30.19
2025-02-22,9,Tienda I,Vendedor 1,P478,Producto 478,3,69.8,209.4,20.94
2025-08-30,6,Tienda F,Vendedor 5,P294,Producto 294,4,24.37,97.48,14.62
2025-08-21,10,Tienda J,Vendedor 1,P392,Producto 392,4,96.79,387.16,0.0
2025-01-14,10,Tienda J,Vendedor 4,P243,Producto 243,4,145.23,580.92,87.14
2025-12-05,2,Tienda B,Vendedor 6,P105,Producto 105,3,110.04,330.12,16.51
2025-06-27,10,Tienda J,Vendedor 2,P405,Producto 405,4,137.84,551.36,27.57
2025-06-19,5,Tienda E,Vendedor 8,P055,Producto 55,1,186.48,186.48,0.0
2025-10-03,3,Tienda C,Vendedor 4,P125,Producto 125,5,151.77,758.85,75.89
2025-09-15,7,Tienda G,Vendedor 10,P089,Producto 89,4,137.14,548.56,54.86
2025-08-27,6,Tienda F,Vendedor 5,P300,Producto 300,4,150.13,600.52,60.05
2025-09-23,9,Tienda I,Vendedor 9,P284,Producto 284,2,100.28,200.56,20.06
2025-08-17,1,Tienda A,Vendedor 10,P448,Producto 448,3,75.23,225.69,11.28
2025-12-26,9,Tienda I,Vendedor 1,P040,Producto 40,2,68.88,137.76,13.78
2025-03-13,4,Tienda D,Vendedor 8,P490,Producto 490,1,97.03,97.03,14.55
2025-09-08,6,Tienda F,Vendedor 10,P071,Producto 71,4,149.03,596.12,89.42
2025-02-17,8,Tienda H,Vendedor 1,P303,Producto 303,1,77.75,77.75,3.89
2025-06-10,5,Tienda E,Vendedor 7,P404,Producto 404,4,153.55,614.2,30.71
2025-10-06,9,Tienda I,Vendedor 5,P417,Producto 417,1,182.39,182.39,0.0
2025-05-03,5,Tienda E,Vendedor 6,P496,Producto 496,3,138.08,414.24,62.14
2025-04-18,3,Tienda C,Vendedor 2,P276,Producto 276,1,78.99,78.99,3.95
2025-06-20,4,Tienda D,Vendedor 1,P270,Producto 270,3,56.91,170.73,0.0
2025-05-07,1,Tienda A,Vendedor 10,P281,Producto 281,5,25.98,129.9,19.48
2025-01-22,7,Tienda G,Vendedor 7,P077,Producto 77,3,54.58,163.74,0.0
2025-09-18,5,Tienda E,Vendedor 2,P048,Producto 48,3,180.38,541.14,81.17
2025-09-25,1,Tienda A,Vendedor 2,P133,Producto 133,3,140.22,420.66,21.03
2025-08-10,4,Tienda D,Vendedor 6,P340,Producto 340,4,24.41,97.64,0.0
2025-04-10,2,Tienda B,Vendedor 7,P201,Producto 201,2,151.47,302.94,30.29
2025-11-01,3,Tienda C,Vendedor 2,P127,Producto 127,4,74.56,298.24,44.74
2025-12-01,6,Tienda F,Vendedor 5,P435,Producto 435,1,162.06,162.06,0.0
2025-12-11,10,Tienda J,Vendedor 9,P369,Producto 369,2,77.14,154.28,15.43
2025-02-24,4,Tienda D,Vendedor 1,P068,Producto 68,4,196.38,785.52,117.83
2025-02-22,5,Tienda E,Vendedor 2,P318,Producto 318,3,85.18,255.54,12.78
2025-04-05,9,Tienda I,Vendedor 8,P304,Producto 304,5,34.09,170.45,8.52
2025-09-22,8,Tienda H,Vendedor 7,P452,Producto 452,5,137.54,687.7,0.0
2025-01-14,4,Tienda D,Vendedor 7,P471,Producto 471,4,186.06,744.24,74.42
2025-02-25,5,Tienda E,Vendedor 10,P494,Producto 494,1,134.09,134.09,0.0
2025-10-14,8,Tienda H,Vendedor 1,P445,Producto 445,5,103.8,519.0,51.9
2025-01-14,4,Tienda D,Vendedor 2,P092,Producto 92,4,74.32,297.28,0.0
2025-10-13,5,Tienda E,Vendedor 3,P232,Producto 232,2,20.54,41.08,6.16
2025-11-23,1,Tienda A,Vendedor 9,P021,Producto 21,2,45.11,90.22,4.51
2025-08-19,8,Tienda H,Vendedor 9,P109,Producto 109,5,103.25,516.25,51.62
2025-05-12,7,Tienda G,Vendedor 8,P259,Producto 259,1,41.19,41.19,6.18
2025-08-21,9,Tienda I,Vendedor 6,P409,Producto 409,2,146.35,292.7,29.27
2025-04-24,3,Tienda C,Vendedor 3,P044,Producto 44,2,177.09,354.18,0.0
2025-03-15,10,Tienda J,Vendedor 9,P364,Producto 364,1,107.69,107.69,10.77
2025-07-28,9,Tienda I,Vendedor 8,P302,Producto 302,1,53.77,53.77,5.38
2025-12-20,4,Tienda D,Vendedor 5,P055,Producto 55,1,186.48,186.48,9.32
2025-09-02,1,Tienda A,Vendedor 5,P423,Producto 423,3,153.18,459.54,68.93
2025-08-22,9,Tienda I,Vendedor 5,P159,Producto 159,4,184.69,738.76,0.0
2025-12-11,6,Tienda F,Vendedor 10,P092,Producto 92,2,74.32,148.64,7.43
2025-09-24,1,Tienda A,Vendedor 3,P155,Producto 155,4,161.48,645.92,96.89
2025-10-19,6,Tienda F,Vendedor 6,P120,Producto 120,1,176.17,176.17,8.81
2025-05-10,6,Tienda F,Vendedor 3,P034,Producto 34,1,107.12,107.12,5.36
2025-11-28,8,Tienda H,Vendedor 10,P212,Producto 212,1,65.72,65.72,6.57
2025-07-22,7,Tienda G,Vendedor 10,P171,Producto 171,4,130.72,522.88,26.14
2025-12-14,8,Tienda H,Vendedor 6,P370,Producto 370,5,73.52,367.6,0.0
2025-08-05,4,Tienda D,Vendedor 2,P325,Producto 325,4,185.37,741.48,111.22
2025-03-02,4,Tienda D,Vendedor 7,P130,Producto 130,5,92.89,464.45,69.67
2025-09-29,2,Tienda B,Vendedor 8,P170,Producto 170,5,189.21,946.05,141.91
2025-04-24,7,Tienda G,Vendedor 3,P089,Producto 89,2,137.14,274.28,27.43
2025-08-14,7,Tienda G,Vendedor 5,P415,Producto 415,1,88.64,88.64,0.0
2025-04-26,8,Tienda H,Vendedor 1,P371,Producto 371,2,93.69,187.38,28.11
2025-02-24,2,Tienda B,Vendedor 4,P170,Producto 170,4,189.21,756.84,113.53
2025-06-29,6,Tienda F,Vendedor 9,P006,Producto 6,4,30.11,120.44,18.07
2025-10-27,10,Tienda J,Vendedor 4,P460,Producto 460,4,172.25,689.0,0.0
2025-05-07,4,Tienda D,Vendedor 5,P297,Producto 297,2,75.37,150.74,7.54
2025-01-08,2,Tienda B,Vendedor 6,P293,Producto 293,2,66.11,132.22,13.22
2025-07-01,1,Tienda A,Vendedor 3,P300,Producto 300,5,150.13,750.65,112.6
2025-09-22,9,Tienda I,Vendedor 1,P005,Producto 5,3,69.71,209.13,0.0
2025-01-04,5,Tienda E,Vendedor 8,P304,Producto 304,1,34.09,34.09,1.7
2025-12-28,7,Tienda G,Vendedor 6,P035,Producto 35,3,115.1,345.3,0.0
2025-04-19,8,Tienda H,Vendedor 9,P436,Producto 436,3,180.78,542.34,0.0
2025-06-13,10,Tienda J,Vendedor 10,P075,Producto 75,4,97.64,390.56,19.53
2025-12-21,8,Tienda H,Vendedor 8,P420,Producto 420,5,189.98,949.9,94.99
2025-03-22,7,Tienda G,Vendedor 3,P217,Producto 217,1,110.99,110.99,11.1
2025-04-30,6,Tienda F,Vendedor 4,P091,Producto 91,4,164.13,656.52,0.0
2025-06-28,6,Tienda F,Vendedor 8,P254,Producto 254,2,193.21,386.42,19.32
2025-11-03,2,Tienda B,Vendedor 5,P165,Producto 165,4,133.78,535.12,0.0
2025-11-12,5,Tienda E,Vendedor 9,P123,Producto 123,5,93.31,466.55,46.66
2025-11-17,4,Tienda D,Vendedor 3,P060,Producto 60,4,27.15,108.6,0.0
2025-07-28,7,Tienda G,Vendedor 2,P156,Producto 156,4,156.34,625.36,62.54
2025-07-06,4,Tienda D,Vendedor 10,P274,Producto 274,3,109.77,329.31,16.47
2025-09-10,9,Tienda I,Vendedor 7,P453,Producto 453,1,126.53,126.53,6.33
2025-05-23,5,Tienda E,Vendedor 3,P018,Producto 18,2,70.43,140.86,0.0
2025-03-26,5,Tienda E,Vendedor 5,P353,Producto 353,2,106.8,213.6,0.0
2025-02-14,8,Tienda H,Vendedor 4,P283,Producto 283,4,90.73,362.92,18.15
2025-12-19,10,Tienda J,Vendedor 6,P122,Producto 122,2,180.36,360.72,54.11
2025-01-05,6,Tienda F,Vendedor 4,P398,Producto 398,1,89.34,89.34,0.0
2025-12-30,6,Tienda F,Vendedor 5,P362,Producto 362,3,78.81,236.43,11.82
2025-06-13,6,Tienda F,Vendedor 9,P392,Producto 392,3,96.79,290.37,14.52
2025-01-11,5,Tienda E,Vendedor 4,P250,Producto 250,3,39.49,118.47,17.77
2025-03-28,4,Tienda D,Vendedor 9,P215,Producto 215,1,177.86,177.86,17.79
2025-03-28,4,Tienda D,Vendedor 4,P268,Producto 268,3,90.79,272.37,40.86
2025-05-20,2,Tienda B,Vendedor 2,P328,Producto 328,5,147.82,739.1,110.86
2025-08-24,3,Tienda C,Vendedor 2,P017,Producto 17,2,76.14,152.28,22.84
2025-03-13,1,Tienda A,Vendedor 9,P142,Producto 142,5,127.56,637.8,95.67
2025-11-04,10,Tienda J,Vendedor 3,P405,Producto 405,5,137.84,689.2,34.46
2025-07-22,4,Tienda D,Vendedor 7,P235,Producto 235,5,192.98,964.9,48.25
2025-06-29,3,Tienda C,Vendedor 7,P179,Producto 179,1,25.84,25.84,3.88
2025-11-26,4,Tienda D,Vendedor 10,P263,Producto 263,4,153.9,615.6,92.34
2025-10-15,6,Tienda F,Vendedor 2,P046,Producto 46,1,152.53,152.53,15.25
2025-07-15,10,Tienda J,Vendedor 4,P088,Producto 88,5,191.58,957.9,0.0
2025-09-21,8,Tienda H,Vendedor 10,P195,Producto 195,2,64.1,128.2,19.23
2025-06-06,7,Tienda G,Vendedor 10,P245,Producto 245,5,72.47,362.35,54.35
2025-05-14,9,Tienda I,Vendedor 5,P255,Producto 255,4,142.78,571.12,85.67
2025-04-11,2,Tienda B,Vendedor 10,P308,Producto 308,1,47.37,47.37,0.0
2025-08-18,10,Tienda J,Vendedor 9,P102,Producto 102,5,24.84,124.2,18.63
2025-11-25,3,Tienda C,Vendedor 4,P101,Producto 101,2,21.48,42.96,0.0
2025-08-10,9,Tienda I,Vendedor 9,P043,Producto 43,5,77.01,385.05,38.51
2025-03-06,10,Tienda J,Vendedor 4,P267,Producto 267,3,35.89,107.67,16.15
2025-01-30,3,Tienda C,Vendedor 10,P382,Producto 382,2,75.07,150.14,0.0
2025-11-14,4,Tienda D,Vendedor 8,P282,Producto 282,5,145.61,728.05,72.8
2025-06-26,10,Tienda J,Vendedor 3,P088,Producto 88,4,191.58,766.32,114.95
2025-01-11,1,Tienda A,Vendedor 2,P435,Producto 435,5,162.06,810.3,0.0
2025-02-11,7,Tienda G,Vendedor 8,P341,Producto 341,2,42.49,84.98,8.5
2025-11-05,5,Tienda E,Vendedor 6,P119,Producto 119,2,151.59,303.18,30.32
2025-10-22,2,Tienda B,Vendedor 5,P110,Producto 110,3,137.09,411.27,61.69
2025-01-08,2,Tienda B,Vendedor 2,P118,Producto 118,1,72.18,72.18,3.61
2025-08-07,8,Tienda H,Vendedor 4,P360,Producto 360,3,60.79,182.37,9.12
2025-04-15,3,Tienda C,Vendedor 8,P131,Producto 131,2,130.12,260.24,0.0
2025-12-19,2,Tienda B,Vendedor 10,P153,Producto 153,4,81.56,326.24,16.31
2025-11-11,4,Tienda D,Vendedor 7,P094,Producto 94,2,120.59,241.18,24.12
2025-02-18,10,Tienda J,Vendedor 6,P458,Producto 458,4,129.76,519.04,0.0
2025-02-26,4,Tienda D,Vendedor 5,P243,Producto 243,3,145.23,435.69,21.78
2025-07-28,10,Tienda J,Vendedor 6,P071,Producto 71,1,149.03,149.03,22.35
2025-07-10,9,Tienda I,Vendedor 1,P004,Producto 4,4,79.31,317.24,47.59
2025-02-22,7,Tienda G,Vendedor 2,P462,Producto 462,1,59.5,59.5,2.98
2025-07-06,8,Tienda H,Vendedor 5,P154,Producto 154,5,170.21,851.05,42.55
2025-01-05,2,Tienda B,Vendedor 9,P247,Producto 247,3,153.89,461.67,46.17
2025-07-09,4,Tienda D,Vendedor 7,P177,Producto 177,1,175.96,175.96,0.0
2025-08-02,9,Tienda I,Vendedor 7,P076,Producto 76,2,144.36,288.72,0.0
2025-03-01,3,Tienda C,Vendedor 6,P457,Producto 457,4,105.66,422.64,42.26
2025-09-06,4,Tienda D,Vendedor 5,P410,Producto 410,4,147.42,589.68,88.45
2025-10-09,2,Tienda B,Vendedor 5,P020,Producto 20,3,143.24,429.72,21.49
2025-07-04,6,Tienda F,Vendedor 2,P078,Producto 78,5,111.76,558.8,83.82
2025-06-09,10,Tienda J,Vendedor 6,P126,Producto 126,5,137.27,686.35,68.64
2025-07-14,3,Tienda C,Vendedor 1,P005,Producto 5,4,69.71,278.84,0.0
2025-10-02,4,Tienda D,Vendedor 2,P185,Producto 185,2,120.18,240.36,24.04
2025-04-15,3,Tienda C,Vendedor 1,P392,Producto 392,1,96.79,96.79,9.68
2025-03-30,10,Tienda J,Vendedor 10,P301,Producto 301,2,192.2,384.4,57.66
2025-01-22,7,Tienda G,Vendedor 1,P149,Producto 149,3,105.74,317.22,0.0
2025-09-16,6,Tienda F,Vendedor 8,P260,Producto 260,2,154.78,309.56,30.96
2025-12-27,7,Tienda G,Vendedor 10,P099,Producto 99,5,58.18,290.9,43.63
2025-05-04,2,Tienda B,Vendedor 3,P013,Producto 13,3,120.79,362.37,0.0
2025-05-16,6,Tienda F,Vendedor 5,P393,Producto 393,1,142.99,142.99,14.3
2025-10-17,9,Tienda I,Vendedor 2,P397,Producto 397,5,60.83,304.15,0.0
2025-04-25,1,Tienda A,Vendedor 10,P272,Producto 272,4,31.75,127.0,6.35
2025-10-23,10,Tienda J,Vendedor 7,P292,Producto 292,2,81.59,163.18,0.0
2025-07-14,1,Tienda A,Vendedor 10,P449,Producto 449,3,146.04,438.12,43.81
2025-05-22,3,Tienda C,Vendedor 2,P132,Producto 132,5,128.36,641.8,96.27
2025-03-09,3,Tienda C,Vendedor 7,P380,Producto 380,5,128.38,641.9,96.28
2025-08-12,4,Tienda D,Vendedor 1,P445,Producto 445,4,103.8,415.2,20.76
2025-07-18,8,Tienda H,Vendedor 1,P281,Producto 281,5,25.98,129.9,19.48
2025-05-15,3,Tienda C,Vendedor 10,P082,Producto 82,2,156.16,312.32,46.85
2025-08-02,5,Tienda E,Vendedor 5,P054,Producto 54,5,31.47,157.35,23.6
2025-04-13,6,Tienda F,Vendedor 6,P332,Producto 332,3,80.54,241.62,0.0
2025-02-11,3,Tienda C,Vendedor 4,P046,Producto 46,4,152.53,610.12,61.01
2025-10-31,2,Tienda B,Vendedor 7,P292,Producto 292,4,81.59,326.36,48.95
2025-11-29,4,Tienda D,Vendedor 1,P025,Producto 25,3,72.43,217.29,0.0
2025-08-06,7,Tienda G,Vendedor 3,P406,Producto 406,3,28.49,85.47,12.82
2025-01-01,10,Tienda J,Vendedor 2,P165,Producto 165,2,133.78,267.56,13.38
2025-02-22,5,Tienda E,Vendedor 7,P244,Producto 244,3,159.19,477.57,23.88
2025-08-15,3,Tienda C,Vendedor 9,P095,Producto 95,2,52.36,104.72,5.24
2025-09-10,6,Tienda F,Vendedor 9,P128,Producto 128,4,112.08,448.32,0.0
2025-11-26,1,Tienda A,Vendedor 7,P471,Producto 471,3,186.06,558.18,83.73
2025-12-30,8,Tienda H,Vendedor 6,P042,Producto 42,2,154.02,308.04,0.0
2025-11-03,6,Tienda F,Vendedor 1,P262,Producto 262,4,77.3,309.2,46.38
2025-02-13,3,Tienda C,Vendedor 6,P094,Producto 94,2,120.59,241.18,0.0
2025-11-18,9,Tienda I,Vendedor 4,P292,Producto 292,5,81.59,407.95,0.0
2025-10-09,7,Tienda G,Vendedor 3,P121,Producto 121,5,75.6,378.0,37.8
2025-08-03,5,Tienda E,Vendedor 8,P037,Producto 37,5,35.85,179.25,17.93
2025-06-02,7,Tienda G,Vendedor 4,P171,Producto 171,1,130.72,130.72,19.61
